Species	PDI	Box	Id	is.exploring	speed_cm_per_min	sinuosity	Body_mass_g	Shell_size_cm	Foot_dry_mass_mg
Arianta_arbustorum	0.47	A_arbustorum_1	A_arbustorum_1_J83	1	3.73	0.26	3.7702	2.1	81.7
Arianta_arbustorum	0.47	A_arbustorum_1	A_arbustorum_1_J84	1	4.35	0.32	4.1147	2.15	85.2
Arianta_arbustorum	0.47	A_arbustorum_1	A_arbustorum_1_J85	1	2.58	0.42	2.8284	1.9	51.1
Arianta_arbustorum	0.47	A_arbustorum_1	A_arbustorum_1_J86	1	3.48	0.43	3.1423	2.1	70.1
Arianta_arbustorum	0.47	A_arbustorum_1	A_arbustorum_1_J87	1	3.56	0.37	3.3371	2.1	68.8
Arianta_arbustorum	0.47	A_arbustorum_2	A_arbustorum_2_J88	1	4.05	0.4	4.0473	2.25	90.3
Arianta_arbustorum	0.47	A_arbustorum_2	A_arbustorum_2_J89	1	4.44	0.4	2.8582	1.95	58.3
Arianta_arbustorum	0.47	A_arbustorum_2	A_arbustorum_2_J90	1	5.35	0.3	1.7359	1.65	47.2
Arianta_arbustorum	0.47	A_arbustorum_2	A_arbustorum_2_J91	0	NA	NA	3.3285	2.1	64.6
Arianta_arbustorum	0.47	A_arbustorum_2	A_arbustorum_2_J92	1	3.49	0.38	2.4364	2.05	63.3
Cochlicella_acuta	0.93	C_acuta_1	C_acuta_1_Bl13	0	NA	NA	0.08	1.09	NA
Cochlicella_acuta	0.93	C_acuta_1	C_acuta_1_I13	0	NA	NA	0.0885	1.1	0.9
Cochlicella_acuta	0.93	C_acuta_1	C_acuta_1_Ja13	0	NA	NA	0.0898	1.31	NA
Cochlicella_acuta	0.93	C_acuta_1	C_acuta_1_N13	0	NA	NA	0.0887	1.04	NA
Cochlicella_acuta	0.93	C_acuta_1	C_acuta_1_Nn13	0	NA	NA	0.137	1.41	1.1
Cochlicella_acuta	0.93	C_acuta_2	C_acuta_2_Bl14	1	1.14	0.65	0.11	1.19	1.3
Cochlicella_acuta	0.93	C_acuta_2	C_acuta_2_I14	0	NA	NA	0.0882	1.11	0.5
Cochlicella_acuta	0.93	C_acuta_2	C_acuta_2_Ja14	0	NA	NA	0.149	1.31	1.4
Cochlicella_acuta	0.93	C_acuta_2	C_acuta_2_N14	0	NA	NA	0.086	1.05	0.5
Cochlicella_acuta	0.93	C_acuta_2	C_acuta_2_Nn14	1	0.55	1	0.141	1.27	1.4
Cochlicella_acuta	0.93	C_acuta_4	C_acuta_4_Bl16	0	NA	NA	0.0951	1.21	0.2
Cochlicella_acuta	0.93	C_acuta_4	C_acuta_4_I16	0	NA	NA	0.24	1.54	0.7
Cochlicella_acuta	0.93	C_acuta_4	C_acuta_4_Ja16	0	NA	NA	0.0815	1.03	NA
Cochlicella_acuta	0.93	C_acuta_4	C_acuta_4_N16	0	NA	NA	0.118	1.12	NA
Cochlicella_acuta	0.93	C_acuta_4	C_acuta_4_Nn16	0	NA	NA	0.122	1.14	NA
Cochlicella_acuta	0.93	C_acuta_5	C_acuta_5_blanc	1	0.89	0.48	0.148	1.41	NA
Cochlicella_acuta	0.93	C_acuta_5	C_acuta_5_bleu	1	0.49	1.57	0.1978	1.55	NA
Cochlicella_acuta	0.93	C_acuta_5	C_acuta_5_jaune	0	NA	NA	0.2025	1.54	0.9
Cochlicella_acuta	0.93	C_acuta_5	C_acuta_5_noir	1	0.65	1.09	0.1479	1.48	1
Cochlicella_acuta	0.93	C_acuta_5	C_acuta_5_orange	1	0.94	0.75	0.2697	1.75	NA
Cornu_aspersum	0.6	C_aspersum_1	C_aspersum_1_V10	0	NA	NA	6.59	2.6	161.8
Cornu_aspersum	0.6	C_aspersum_1	C_aspersum_1_V4	0	NA	NA	8.18	2.9	123
Cornu_aspersum	0.6	C_aspersum_1	C_aspersum_1_V5	0	NA	NA	8.34	2.6	137.2
Cornu_aspersum	0.6	C_aspersum_1	C_aspersum_1_V6	0	NA	NA	5.57	3	57.7
Cornu_aspersum	0.6	C_aspersum_1	C_aspersum_1_V8	0	NA	NA	10.9	3.1	149.7
Cornu_aspersum	0.6	C_aspersum_2	C_aspersum_2_V11	1	2.8	0.49	10.63	2.9	133
Cornu_aspersum	0.6	C_aspersum_2	C_aspersum_2_V12	1	0.78	1.51	9.9	3.1	126.5
Cornu_aspersum	0.6	C_aspersum_2	C_aspersum_2_V13	1	2.72	0.52	6.91	2.67	124
Cornu_aspersum	0.6	C_aspersum_2	C_aspersum_2_V14	1	4.67	0.48	9.29	3.15	99
Cornu_aspersum	0.6	C_aspersum_2	C_aspersum_2_V15	1	3.45	0.29	8.84	2.95	72.2
Cornu_aspersum	0.6	C_aspersum_3	C_aspersum_3_V16	1	4.34	0.4	14.89	3.3	202
Cornu_aspersum	0.6	C_aspersum_3	C_aspersum_3_V17	0	NA	NA	9.55	3.15	169.6
Cornu_aspersum	0.6	C_aspersum_3	C_aspersum_3_V18	1	3.6	0.54	5.17	2.95	90.3
Cornu_aspersum	0.6	C_aspersum_3	C_aspersum_3_V19	0	NA	NA	5.57	2.95	73.3
Cornu_aspersum	0.6	C_aspersum_3	C_aspersum_3_V20	1	0.65	1.54	10.25	3.05	127.1
Cornu_aspersum	0.6	C_aspersum_4	C_aspersum_4_V21	1	0.93	1.18	12.2	3.05	198
Cornu_aspersum	0.6	C_aspersum_4	C_aspersum_4_V22	0	NA	NA	11.39	3	149
Cornu_aspersum	0.6	C_aspersum_4	C_aspersum_4_V23	0	NA	NA	7.12	2.7	85.7
Cornu_aspersum	0.6	C_aspersum_4	C_aspersum_4_V24	0	NA	NA	6.59	3.2	249.4
Cornu_aspersum	0.6	C_aspersum_4	C_aspersum_4_V25	0	NA	NA	7.58	3.2	84.2
Ciliella_ciliata	0.73	C_ciliata_1	C_ciliata_1_Bl29	1	1.04	0.75	0.1423	0.75	NA
Ciliella_ciliata	0.73	C_ciliata_1	C_ciliata_1_I29	0	NA	NA	0.0938	0.7	NA
Ciliella_ciliata	0.73	C_ciliata_1	C_ciliata_1_Ja29	1	1.24	0.87	0.1357	0.8	2.9
Ciliella_ciliata	0.73	C_ciliata_1	C_ciliata_1_W29	0	NA	NA	0.1435	0.75	NA
Ciliella_ciliata	0.73	C_ciliata_1	C_ciliata_1_Ww29	1	1.93	0.43	0.1293	0.8	1.3
Ciliella_ciliata	0.73	C_ciliata_2	C_ciliata_2_Bl30	0	NA	NA	0.1508	0.8	2
Ciliella_ciliata	0.73	C_ciliata_2	C_ciliata_2_I30	0	NA	NA	0.0737	0.65	NA
Ciliella_ciliata	0.73	C_ciliata_2	C_ciliata_2_Ja30	1	2.31	0.56	0.1015	0.65	0.6
Ciliella_ciliata	0.73	C_ciliata_2	C_ciliata_2_W30	1	1.83	0.54	0.1518	0.77	NA
Ciliella_ciliata	0.73	C_ciliata_2	C_ciliata_2_Ww30	1	0.55	0.63	0.1463	0.89	1.6
Ciliella_ciliata	0.73	C_ciliata_3	C_ciliata_3_Bl31	1	1.33	0.63	0.0736	0.6	1.7
Ciliella_ciliata	0.73	C_ciliata_3	C_ciliata_3_I31	1	1.92	0.59	0.0365	0.45	NA
Ciliella_ciliata	0.73	C_ciliata_3	C_ciliata_3_Ja31	1	2	0.99	0.1199	0.7	1.4
Ciliella_ciliata	0.73	C_ciliata_3	C_ciliata_3_W31	1	2.31	0.72	0.0616	0.55	1.3
Ciliella_ciliata	0.73	C_ciliata_3	C_ciliata_3_Ww31	0	NA	NA	0.1261	0.75	1.5
Cepaea_hortensis	0.47	C_hortensis_1	C_hortensis_1_B1	0	NA	NA	2.36	1.88	47.5
Cepaea_hortensis	0.47	C_hortensis_1	C_hortensis_1_B2	1	4.97	0.44	2.4	1.88	48.4
Cepaea_hortensis	0.47	C_hortensis_1	C_hortensis_1_B3	0	NA	NA	2.5	1.95	50.7
Cepaea_hortensis	0.47	C_hortensis_1	C_hortensis_1_B4	0	NA	NA	2.39	1.9	45.8
Cepaea_hortensis	0.47	C_hortensis_1	C_hortensis_1_B5	1	5.11	0.27	2	1.93	57.5
Cepaea_hortensis	0.47	C_hortensis_2	C_hortensis_2_B10	1	4.19	0.44	1.68	1.84	38
Cepaea_hortensis	0.47	C_hortensis_2	C_hortensis_2_B6	1	3.94	0.47	1.91	1.72	29.9
Cepaea_hortensis	0.47	C_hortensis_2	C_hortensis_2_B7	0	NA	NA	2.44	1.88	54.7
Cepaea_hortensis	0.47	C_hortensis_2	C_hortensis_2_B8	1	3.74	0.51	2.06	1.81	NA
Cepaea_hortensis	0.47	C_hortensis_2	C_hortensis_2_B9	0	NA	NA	1.99	1.79	48.3
Cepaea_hortensis	0.47	C_hortensis_3	C_hortensis_3_B11	0	NA	NA	2.99	1.88	NA
Cepaea_hortensis	0.47	C_hortensis_3	C_hortensis_3_B12	0	NA	NA	2.12	1.75	33.2
Cepaea_hortensis	0.47	C_hortensis_3	C_hortensis_3_B13	1	3.26	0.53	2.32	1.94	46.8
Cepaea_hortensis	0.47	C_hortensis_3	C_hortensis_3_B14	0	NA	NA	2.38	1.88	40
Cepaea_hortensis	0.47	C_hortensis_3	C_hortensis_3_B15	0	NA	NA	2.09	1.9	50.1
Cepaea_hortensis	0.47	C_hortensis_4	C_hortensis_4_B16	1	3.6	0.5	2.78	1.98	54.5
Cepaea_hortensis	0.47	C_hortensis_4	C_hortensis_4_B17	0	NA	NA	2.67	1.9	49.3
Cepaea_hortensis	0.47	C_hortensis_4	C_hortensis_4_B18	0	NA	NA	2.7	2	56.5
Cepaea_hortensis	0.47	C_hortensis_4	C_hortensis_4_B19	0	NA	NA	2.36	1.85	55
Cepaea_hortensis	0.47	C_hortensis_4	C_hortensis_4_B20	0	NA	NA	1.9	1.82	51.4
Cernuella_neglecta	0.8	C_neglecta_3	C_neglecta_3_Bl19	1	1.88	0.91	0.1764	0.85	1.7
Cernuella_neglecta	0.8	C_neglecta_3	C_neglecta_3_I19	1	1.5	1.01	0.102	0.65	1.3
Cernuella_neglecta	0.8	C_neglecta_3	C_neglecta_3_Ja19	1	1.72	0.72	0.1581	0.9	3.8
Cernuella_neglecta	0.8	C_neglecta_3	C_neglecta_3_N19	0	NA	NA	0.1845	0.85	2.5
Cernuella_neglecta	0.8	C_neglecta_3	C_neglecta_3_Nn19	1	2.77	0.61	0.1633	0.85	2.1
Cernuella_neglecta	0.8	C_neglecta_4	C_neglecta_4_Bl20	1	1.95	0.38	0.1195	0.75	4.1
Cernuella_neglecta	0.8	C_neglecta_4	C_neglecta_4_I20	1	0.67	0.84	0.0967	0.65	2.6
Cernuella_neglecta	0.8	C_neglecta_4	C_neglecta_4_Ja20	0	NA	NA	0.094	0.7	3.8
Cernuella_neglecta	0.8	C_neglecta_4	C_neglecta_4_N20	0	NA	NA	0.1705	0.8	2.2
Cernuella_neglecta	0.8	C_neglecta_4	C_neglecta_4_Nn20	1	0.79	1.21	0.101	0.8	3.5
Cernuella_neglecta	0.8	C_neglecta_5	C_neglecta_5_blanc	1	2.04	0.51	0.6159	1.34	2.4
Cernuella_neglecta	0.8	C_neglecta_5	C_neglecta_5_bleu	0	NA	NA	0.694	1.32	4.4
Cernuella_neglecta	0.8	C_neglecta_5	C_neglecta_5_jaune	1	0.9	1.02	0.7448	1.41	9.2
Cernuella_neglecta	0.8	C_neglecta_5	C_neglecta_5_noir	1	3.14	0.58	0.6905	1.33	8.2
Cernuella_neglecta	0.8	C_neglecta_5	C_neglecta_5_orange	1	2.33	0.36	0.6189	1.32	6.6
Cernuella_neglecta	0.8	C_neglecta_6	C_neglecta_6_blanc	0	NA	NA	0.5283	1.38	3
Cernuella_neglecta	0.8	C_neglecta_6	C_neglecta_6_bleu	0	NA	NA	0.2699	1.11	2.9
Cernuella_neglecta	0.8	C_neglecta_6	C_neglecta_6_jaune	0	NA	NA	0.45	1.18	2.2
Cernuella_neglecta	0.8	C_neglecta_6	C_neglecta_6_noir	0	NA	NA	0.2248	1.04	NA
Cernuella_neglecta	0.8	C_neglecta_6	C_neglecta_6_orange	0	NA	NA	0.4767	1.28	4.4
Cepaea_nemoralis	0.53	C_nemoralis_1	C_nemoralis_1_J53	0	NA	NA	5.45	2.41	141.6
Cepaea_nemoralis	0.53	C_nemoralis_1	C_nemoralis_1_J54	1	5.32	0.33	4.87	2.45	71.7
Cepaea_nemoralis	0.53	C_nemoralis_1	C_nemoralis_1_J55	1	4.63	0.37	4.78	2.5	122.5
Cepaea_nemoralis	0.53	C_nemoralis_1	C_nemoralis_1_J56	1	3.18	0.44	5.24	2.4	108.5
Cepaea_nemoralis	0.53	C_nemoralis_1	C_nemoralis_1_J57	0	NA	NA	5.7	2.5	80.1
Cepaea_nemoralis	0.53	C_nemoralis_2	C_nemoralis_2_J58	1	3.24	0.54	3.91	2.2	47
Cepaea_nemoralis	0.53	C_nemoralis_2	C_nemoralis_2_J59	0	NA	NA	4.6	2.4	59.4
Cepaea_nemoralis	0.53	C_nemoralis_2	C_nemoralis_2_J60	0	NA	NA	4.93	2.5	60.9
Cepaea_nemoralis	0.53	C_nemoralis_2	C_nemoralis_2_J61	0	NA	NA	3.76	2.3	40.2
Cepaea_nemoralis	0.53	C_nemoralis_2	C_nemoralis_2_J62	0	NA	NA	4.13	2.3	35.9
Cepaea_nemoralis	0.53	C_nemoralis_3	C_nemoralis_3_J63	1	3.34	0.46	5.99	2.4	120.8
Cepaea_nemoralis	0.53	C_nemoralis_3	C_nemoralis_3_J64	1	1.5	1.21	5.36	2.45	NA
Cepaea_nemoralis	0.53	C_nemoralis_3	C_nemoralis_3_J65	1	3.73	0.44	5.55	2.5	125.4
Cepaea_nemoralis	0.53	C_nemoralis_3	C_nemoralis_3_J66	1	3.49	0.56	5.06	2.4	52.8
Cepaea_nemoralis	0.53	C_nemoralis_3	C_nemoralis_3_J67	1	3.07	0.63	3.74	2.2	57.2
Cepaea_nemoralis	0.53	C_nemoralis_4	C_nemoralis_4_J68	0	NA	NA	4.34	2.25	51.3
Cepaea_nemoralis	0.53	C_nemoralis_4	C_nemoralis_4_J69	0	NA	NA	5.23	2.4	106.9
Cepaea_nemoralis	0.53	C_nemoralis_4	C_nemoralis_4_J70	1	4.16	0.37	4.44	2.3	96.9
